"Collection_id","NomorBarcode","Title","Subject"
"60618","013906711","Sistem manajemen keselamatan dan kesehatan kerja : panduan penerapan berdasarkan OHSAS 18001 dan Permenaker 05/1996 ","KESELAMATAN KERJA, MANAGEMENT"
"73895","272011211","Asuransi dan manajemen resiko ","RISK (INSURANCE)"
"47388","108088211","Kriminologi : Suatu Pengantar ","KEJAHATAN DAN PENJAHAT"
"73901","272811211","Kriminologi ","CRIMINOLOGY"
"40221","055693211","Kriminologi : Suatu pengantar ","KEJAHATAN DAN PENJAHAT"
"144799","162114212","Bullying and Students With Disabilities: Strategies and Techniques To Create a Safe Learning Environment for all / Barry Edwards McNamara","DISABILITIES"
"74754","415111211","Asas-asas hukum perbankan indonesia ","BANKING LAW-INDONESIA"
"75619","555011211","Hukum administrasi negara","ADMINISTRATIVE LAW"
"224416","141818211","Hukum Perlindungan Konsumen / Andi Sri Rezky Wulandari; Nurdiyana Tadjuddin","CONSUMER PROTECTION-LAW AND LEGISLATION"
"61651","196706211","Hukum perjanjian : Teori dan analisa kasus ","CONTRACTS"
"284469","047124111","Pokok-Pokok Hukum Perdata / Subekti","LAW PHILOSOPHY"
"282336","008624111","Perlindungan hukum bagi rakyat di indonesia / Philipus M. Hadjon","LAW"
"74758","415611211","Hukum Perbankan di Indonesia","BANKING LAW-INDONESIA"
"274847","130322111","Mahir Accounting Principles / Hery; Editor : Ayu Teresia","ACCOUNTING"
"116236","6516111711","Mengelola partai politik : komunikasi dan positioning ideologi politik di era demokrasi / Firmanzah","POLITICAL PARTIES"
"273801","101122111","The 4 Disciplines of Execution :  Mencapai wildly Important Goals / Chris McChesney; Sean Covey; Jim Huling; Alih Bahasa: Fairano Ilyas; Roza M Sibarani","DISCIPLINARY POWER"
"62949","377406211","Pokok-pokok hukum administrasi ","ADMINISTRATIVE LAW"
"37144","064492211","Pokok-pokok hukum administrasi negara Indonesia ","hukum administrasiadministrasi negara"
"291294","038425111","Hukum dan Pembangunan / Dharma Setiawan Negara; Lufsiana","LAW"
"285557","133724211","Green Management Strategy In Sustainable Development / Ahmad H Sutawidjaya; Leny C Nawangsari; Dudi Permana; Indra Siswanti; Aditya Pratama","SUSTAINABLE DEVELOPMENT"
"286553","200624111","Buah Pikir Untuk Indonesia :  Gagasan dan Kritik Kebijakan Politik Pangan dan Pertanian / Wayan Supadno","AGRICULTURAL ECONOMICS"
"286561","200924111","Koleksi Ilmu Hikmah / Wayan Supadno","AGRICULTURE ECONOMIC"
"241487","142519111","Kedudukan Badan Pertanahan Nasional di era otonomi daerah / Sri Winarsi","AGRARIA"
"286190","173824111","10 Implementasi SDGs Di Kota-kota Dunia / Moh. Agung Santoso","SUSTAINABLE DEVELOPMENT"
"107596","031113111","Prinsip kehati-hatian pada transaksi perbankan / Trisadini P Usanti","BANKS AND BANKING"
"271252","266021211","Pendekatan Teori & Praktik Praktika Aplikasi Akuntansi / Rizki Indrawan; Ifan Wicaksana Siregar; Nia Dwi Anggraeni","ACCOUNTING"
"67632","160610212","Financial accounting and reporting ","ACCOUNTING"
"51310","265096211","Teori akuntansi jilid 2 ","AKUNTANSI"
"77761","863311211","Teori Akuntansi ","ACCOUNTING"
"51320","168489211","Teori akuntansi jilid 2 ","AKUNTANSI"
"117242","4284111711","Posfeminisme dan cultural studies : Sebuah pengantar paling komprehensif / Ann Brooks","FEMINITY"
"120182","0039141711","Teori feminis dan cultural studies","FEMINISM-SOCIAL ASPECTS"
"116765","3845111711","FeministThought : Pengantar paling Komprehensif kepada Arus Utama Pemikiran Feminis / Rosemarie Putnam Tong","FEMINIST"
"213242","0842092211","Fonetik / Marsono","FONETIK"
"278631","0071231211","Keajaiban Toko Kelontong Namiya / Keigo Higashino","SASTRA JEPANG"
"219369","0824112211","Simbolisme Jawa / Budiono Herusatoto","BUDAYA"
"127973","231511812","Accepted, 50 Successful College Admission Essays","UNIVERSITIES - COLLEGES UNITED STATES"
"218534","1342082211","Robohnya surau kami / Ali Akbar Navis","FIKSI INDONESIA"
"283677","0711241211","Senyum Karyamin :  Kumpulan Cerita Pendek / Ahmad Tohari","FIKSI"
"275664","156322212","Principles of economics / N. Gregory Mankiw","ECONOMICS"
"242504","193219211","Riset Keperawatan :  Analisis Data Statistik Menggunakan SPSS / Ns. Yudha Anggit Jiwantoro","NURSING - RESEARCH"
"269269","111621211","Manajemen Keperawatan :  Konsep & Aplikasi / Asmuji; Editor : Meita Sandra","NURSING - MANAGEMENT"
"263829","0094202211","Cantik Itu Luka :  Sebuah Novel / Eka Kurniawan","FIKSI INDONESIA"
"283738","0749241211","Belenggu / Armijn Pane","FIKSI"
"287927","0065251211","Nasionalisme dan Revolusi Indonesia / George McTurnan Kahin","REVOLUSI INDONESIA"
"219277","0485122211","Seratus hari di Surabaya yang menggemparkan Indonesia / Roeslan Abdulgani","SEJARAH INDONESIA"
"287848","0041251211","Siti Hanifah (1942-1992) :  Perempuan Pejuang dan Tokoh Pahlawan dari Surabaya / Ganang Syahriar Ramadhan","BIOGRAFI"
"213066","0907092211","Feminisme untuk pemula / Marisa Rueda","FEMINISME"
"79549","170113111","Pengantar Psikologi Sosial","SOCIAL PSYCHOLOGY"
"104969","337211211","Tumbuh kembang anak / Soetjiningsih","CHILD DEVELOPMENT"
"266430","128820211","Pramoedya Ananta Toer :  Kisah di Balik Bumi Manusia / Agus Wahyudi","ROMANCES-INDONESIA"
"66275","406610111","Sastra Indonesia lama berisi sejarah : Ringkasan isi cerita serta deskripsi latar dan tokoh ","INDONESIAN LITERATURE"
"101252","824711211","Sejarah peradaban Islam / Samsul Munir Amin","CIVILIZATION, ISLAMIC"
"230404","162212211","Pelatihan lengkap tazkiyatun nafs : Memandu anda membersihkan hati dan menumbuhkan jiwa mulia agar hidup lebih berhasil dan lebih bahagia","RELIGIOUS EDUCATION - ISLAM"
"217599","0243132211","Pengantar Sosiologi Sastra : dari strukturalisme genetik sampai post-modernisme / Faruk","SASTRA"
"218620","0209152211","Saman / Ayu Utami","fIKSI INDONESIA"
"218549","0698122221","Ronggeng Dukuh Paruk / Ahmad Tohari","FIKSI INDONESIA"
"60931","021606711","Globalisasi adalah mitos","FREE TRADE"
"46785","131205211","Globalisasi dan perdagangan internasional ","FREE TRADE"
"61252","041306711","Runaway world : bagaimana globalisasi merombak kehidupan kita ","POLITICAL SCIENCE"
